DATE,AUD,CAD,EUR,JPY,CHF,USD
02/01/2013,1.5512,1.6019,1.2299,141.9639,1.488,1.6284
03/01/2013,1.5355,1.5919,1.2341,140.3496,1.4922,1.616
04/01/2013,1.5341,1.5808,1.2294,141.2058,1.4857,1.6037
07/01/2013,1.5345,1.5856,1.2279,141.0962,1.4843,1.6083
08/01/2013,1.5295,1.583,1.2274,139.7464,1.4836,1.6037
09/01/2013,1.5233,1.5806,1.2273,140.6303,1.4841,1.6008
10/01/2013,1.5239,1.5892,1.2189,142.0403,1.4763,1.6108
11/01/2013,1.5284,1.5862,1.2083,143.6254,1.4711,1.6125
14/01/2013,1.522,1.5838,1.2021,143.4069,1.4734,1.6068
15/01/2013,1.5251,1.5828,1.2053,142.6379,1.4927,1.609
16/01/2013,1.5155,1.5768,1.203,141.5398,1.4883,1.5995
17/01/2013,1.5165,1.5736,1.1956,142.7948,1.4897,1.5969
18/01/2013,1.5111,1.5764,1.1934,142.6628,1.4837,1.5862
21/01/2013,1.5071,1.5737,1.1892,142.1893,1.476,1.5834
22/01/2013,1.5031,1.5764,1.1943,140.4864,1.4748,1.5867
23/01/2013,1.5016,1.582,1.1927,140.2809,1.4711,1.5842
24/01/2013,1.5069,1.5834,1.1802,142.0312,1.4683,1.5783
25/01/2013,1.5142,1.5945,1.173,143.8121,1.459,1.5807
28/01/2013,1.5093,1.5854,1.1669,142.355,1.4564,1.5709
29/01/2013,1.5062,1.5813,1.1683,142.7623,1.452,1.5747
30/01/2013,1.5143,1.5837,1.1638,143.8244,1.4406,1.5791
31/01/2013,1.5201,1.5837,1.1681,144.686,1.4435,1.5856
01/02/2013,1.5138,1.5731,1.1497,145.8302,1.4216,1.5745
04/02/2013,1.5105,1.5724,1.1608,145.8755,1.43,1.5738
05/02/2013,1.5093,1.5642,1.1583,146.3421,1.4247,1.567
06/02/2013,1.5168,1.5602,1.1562,146.4088,1.4253,1.5652
07/02/2013,1.5225,1.567,1.1727,146.3677,1.4412,1.5703
08/02/2013,1.5338,1.587,1.1835,146.8723,1.4527,1.5837
11/02/2013,1.5244,1.5769,1.1706,146.3614,1.44,1.5662
12/02/2013,1.5191,1.5701,1.163,145.7476,1.4341,1.566
13/02/2013,1.5032,1.5584,1.1569,145.2991,1.4291,1.5545
14/02/2013,1.4989,1.5543,1.1638,144.4943,1.4317,1.5527
15/02/2013,1.5064,1.5612,1.1628,145.64,1.4344,1.5525
18/02/2013,1.5017,1.5632,1.1596,145.4656,1.4294,1.548
19/02/2013,1.4921,1.5627,1.1562,144.4229,1.4269,1.5443
20/02/2013,1.487,1.5528,1.1446,143.3738,1.4135,1.5303
21/02/2013,1.4882,1.5545,1.154,141.707,1.4178,1.5257
22/02/2013,1.4814,1.5632,1.1599,142.319,1.4221,1.5267
25/02/2013,1.4697,1.5502,1.1435,141.7224,1.4054,1.5109
26/02/2013,1.4813,1.556,1.1571,138.6995,1.4092,1.5127
27/02/2013,1.4828,1.5539,1.1545,138.6517,1.4074,1.5135
28/02/2013,1.4826,1.5601,1.1609,140.0566,1.4165,1.5179
01/03/2013,1.4703,1.5429,1.156,140.2741,1.4188,1.5009
04/03/2013,1.4831,1.5513,1.1583,140.573,1.419,1.507
05/03/2013,1.4776,1.5554,1.1607,141.1359,1.4247,1.5119
06/03/2013,1.4671,1.5519,1.158,140.8001,1.4249,1.5054
07/03/2013,1.4652,1.55,1.1503,142.4538,1.4214,1.5049
08/03/2013,1.4593,1.5324,1.1496,143.539,1.4221,1.4924
11/03/2013,1.4513,1.5297,1.1446,143.1952,1.4145,1.4896
12/03/2013,1.4428,1.5265,1.1432,142.8811,1.4098,1.4885
13/03/2013,1.4501,1.5333,1.1524,143.345,1.4206,1.4924
14/03/2013,1.4494,1.5444,1.1596,144.6702,1.4294,1.5051
15/03/2013,1.4542,1.5422,1.1583,143.9243,1.4208,1.5134
18/03/2013,1.4536,1.5438,1.1659,143.3844,1.4276,1.5109
19/03/2013,1.459,1.5531,1.173,143.3942,1.4303,1.5118
20/03/2013,1.4565,1.5539,1.1685,144.5409,1.4283,1.5132
21/03/2013,1.4541,1.5543,1.1744,144.2916,1.4352,1.5179
22/03/2013,1.4587,1.5582,1.1726,143.9933,1.4329,1.5239
25/03/2013,1.4526,1.5514,1.1786,143.2364,1.4383,1.5183
26/03/2013,1.4455,1.5408,1.1786,142.7904,1.4375,1.5155
27/03/2013,1.4481,1.5368,1.1822,142.6176,1.4408,1.5111
28/03/2013,1.4561,1.5425,1.1823,142.7318,1.4379,1.5181
02/04/2013,1.4461,1.5359,1.1783,141.4014,1.4349,1.5128
03/04/2013,1.4432,1.5333,1.1781,140.568,1.4308,1.5136
04/04/2013,1.4585,1.5404,1.1809,146.28,1.4362,1.5179
05/04/2013,1.4792,1.5662,1.179,149.1697,1.4326,1.5353
08/04/2013,1.4706,1.558,1.174,151.1237,1.4287,1.5282
09/04/2013,1.4591,1.5541,1.1713,151.4304,1.4285,1.5296
10/04/2013,1.4542,1.5551,1.1712,152.509,1.4278,1.5326
11/04/2013,1.4575,1.5565,1.1727,153.2473,1.4306,1.5394
12/04/2013,1.4632,1.5574,1.1733,151.7184,1.4277,1.5367
15/04/2013,1.473,1.564,1.1702,149.9964,1.4237,1.5312
16/04/2013,1.4772,1.5653,1.1645,149.4542,1.4167,1.5291
17/04/2013,1.478,1.5665,1.1681,148.6936,1.4188,1.5235
18/04/2013,1.4828,1.5672,1.1689,150.1882,1.4219,1.5291
19/04/2013,1.4808,1.5656,1.1664,151.4357,1.4199,1.5258
22/04/2013,1.4874,1.5656,1.17,151.3775,1.4272,1.5246
23/04/2013,1.49,1.5683,1.1744,151.8465,1.4394,1.5284
24/04/2013,1.4883,1.5685,1.1748,151.7334,1.4468,1.5268
25/04/2013,1.4971,1.5746,1.1872,153.6126,1.4629,1.544
26/04/2013,1.506,1.5758,1.1891,151.3259,1.4587,1.5492
29/04/2013,1.4974,1.5711,1.1827,152.0891,1.4515,1.5494
30/04/2013,1.4988,1.5653,1.1803,151.6089,1.4461,1.5564
01/05/2013,1.5115,1.568,1.1788,151.3987,1.4429,1.5552
02/05/2013,1.5137,1.5643,1.1868,152.0543,1.4486,1.5511
03/05/2013,1.5104,1.5699,1.187,154.0454,1.4548,1.5568
07/05/2013,1.5215,1.5543,1.1821,153.2669,1.4556,1.5469
08/05/2013,1.5269,1.561,1.1816,153.8133,1.4563,1.5565
09/05/2013,1.5212,1.5532,1.1833,153.8908,1.4579,1.5496
10/05/2013,1.5353,1.5536,1.1837,156.3139,1.4698,1.5355
13/05/2013,1.539,1.5507,1.1818,156.1252,1.469,1.5344
14/05/2013,1.5383,1.5501,1.1755,155.6824,1.4607,1.5257
15/05/2013,1.5405,1.5494,1.1838,155.9649,1.473,1.5225
16/05/2013,1.5532,1.555,1.1852,156.0804,1.4688,1.5308
17/05/2013,1.5603,1.5609,1.1848,156.4369,1.4775,1.5191
20/05/2013,1.5542,1.5647,1.184,155.9646,1.4736,1.5222
21/05/2013,1.5491,1.5595,1.1762,155.2558,1.4702,1.5141
22/05/2013,1.5546,1.5546,1.1683,155.7158,1.4734,1.5045
23/05/2013,1.5521,1.558,1.1676,152.8043,1.4604,1.5065
24/05/2013,1.5644,1.5631,1.171,153.1865,1.4547,1.514
28/05/2013,1.5621,1.5617,1.1695,153.8832,1.4676,1.5035
29/05/2013,1.5699,1.5715,1.1657,152.5255,1.4527,1.5115
30/05/2013,1.5701,1.5671,1.1655,153.5751,1.4513,1.5216
31/05/2013,1.5808,1.567,1.1698,153.0655,1.4547,1.5161
03/06/2013,1.5749,1.5823,1.1739,152.2923,1.459,1.5295
04/06/2013,1.5858,1.5821,1.17,153.1441,1.4512,1.5293
05/06/2013,1.6156,1.596,1.1762,152.8272,1.4524,1.5392
06/06/2013,1.6289,1.6017,1.1765,152.6842,1.4512,1.5523
07/06/2013,1.6382,1.5861,1.1753,151.2935,1.453,1.5538
10/06/2013,1.6442,1.5816,1.1767,153.9092,1.4582,1.5526
11/06/2013,1.6591,1.5892,1.175,151.0569,1.4465,1.5597
12/06/2013,1.6502,1.5974,1.1762,150.0932,1.4437,1.5687
13/06/2013,1.6349,1.594,1.1789,147.737,1.4482,1.568
14/06/2013,1.6288,1.5945,1.1752,148.2887,1.4435,1.5677
17/06/2013,1.6414,1.5979,1.1772,148.9121,1.4535,1.5713
18/06/2013,1.6488,1.594,1.1655,149.1969,1.4369,1.5608
19/06/2013,1.6419,1.5958,1.1682,148.77,1.4396,1.566
20/06/2013,1.6841,1.6019,1.1737,151.6807,1.4407,1.5465
21/06/2013,1.6714,1.6112,1.1715,150.012,1.4383,1.5389
24/06/2013,1.6612,1.6211,1.1761,150.2326,1.439,1.5399
25/06/2013,1.6664,1.6194,1.1782,150.5741,1.4477,1.5404
26/06/2013,1.6465,1.6063,1.1797,149.4479,1.4455,1.5339
27/06/2013,1.6386,1.5953,1.1694,149.7997,1.4427,1.5205
28/06/2013,1.6572,1.6001,1.1668,150.669,1.4349,1.5167
01/07/2013,1.6517,1.5991,1.1679,151.8389,1.4417,1.5225
02/07/2013,1.6555,1.6002,1.1639,152.2968,1.4377,1.5169
03/07/2013,1.6822,1.6073,1.1763,152.1375,1.4471,1.5258
04/07/2013,1.6419,1.584,1.1667,150.6751,1.4408,1.5066
05/07/2013,1.6416,1.576,1.1596,150.1844,1.4311,1.4883
08/07/2013,1.6367,1.5775,1.1611,151.0082,1.4408,1.4938
09/07/2013,1.6205,1.5623,1.1599,149.8969,1.4435,1.4831
